time,close,Volume,Global M2 YoY % Change (USD),HR Raw,HR SMA Long,HR SMA Short,Oscillator,Capitulation,Miner Capitulation,Recovering,Recovered,Buy
1304208000,135120000000000,NaN,NaN,NaN,1.5025517833333335,2.2703333333333333,NaN,0,0,0,0,0
1306886400,129584400000000,NaN,NaN,NaN,5.210666666666666,8.151,NaN,0,0,0,0,0
1309478400,134473700000000.02,NaN,NaN,NaN,10.479166666666664,12.548333333333336,NaN,0,0,0,0,0
1312156800,141482900000000,NaN,NaN,NaN,12.792499999999997,12.923333333333337,NaN,0,0,0,0,0
1314835200,137689000000000,NaN,NaN,NaN,12.558499999999993,12.193666666666674,NaN,1,1,0,0,0
1317427200,132985799999999.98,NaN,NaN,NaN,10.776999999999997,9.34300000000001,NaN,0,1,0,0,0
1320105600,143205600000000,NaN,NaN,NaN,8.800166666666666,8.257333333333332,NaN,0,1,0,0,0
1322697600,143021900000000,NaN,NaN,NaN,8.303000000000004,8.321666666666664,NaN,0,0,0,1,1
1325376000,136906400000000,NaN,NaN,NaN,8.950166666666679,9.552666666666662,NaN,0,0,0,0,0
1328054400,144244300000000,NaN,NaN,NaN,9.89616666666668,10.272333333333334,NaN,0,0,0,0,0
1330560000,139456900000000,NaN,NaN,NaN,10.834833333333341,11.37833333333333,NaN,0,0,0,0,0
1333238400,141206500000000,NaN,NaN,NaN,11.27650000000001,11.174666666666667,NaN,1,1,0,0,0
1335830400,142800700000000,NaN,NaN,NaN,11.393166666666678,11.580000000000007,NaN,0,0,0,1,1
1338508800,143626500000000,NaN,41.24199617911077,NaN,11.969833333333343,12.359666666666671,NaN,0,0,0,0,0
1341100800,145495400000000,NaN,37.00203155675355,NaN,13.19050000000001,14.009333333333336,NaN,0,0,0,0,0
1343779200,149967200000000,NaN,38.577350295129385,NaN,15.681833333333339,17.335333333333335,NaN,0,0,0,0,0
1346457600,149920800000000,NaN,39.8633523432763,NaN,19.229333333333333,21.12333333333333,NaN,0,0,0,0,0
1349049600,153731600000000,NaN,38.94821551110348,NaN,22.014999999999997,22.929666666666662,NaN,0,0,0,0,0
1351728000,156357900000000,NaN,38.06662950156985,NaN,23.865333333333332,24.80099999999999,NaN,0,0,0,0,0
1354320000,158362700000000,NaN,41.81816912624138,NaN,23.670166666666667,22.326999999999998,NaN,1,1,0,0,0
1356998400,159790300000000,NaN,43.05322487378036,NaN,22.23533333333334,22.152333333333328,NaN,0,1,0,0,0
1359676800,163532500000000,NaN,47.558811343959505,NaN,24.99766666666666,27.980999999999995,NaN,0,0,0,1,1
1362096000,164812700000000,NaN,46.59413046278087,NaN,36.09016666666666,43.971,NaN,0,0,0,0,0
1364774400,174691300000000,NaN,41.74730833144834,NaN,55.591333333333324,67.21166666666667,NaN,0,0,0,0,0
1367366400,184286100000000,NaN,42.16217621721205,NaN,77.87183333333333,88.26966666666667,NaN,0,0,0,0,0
1370044800,187068400000000,NaN,44.01031815693601,NaN,116.16433333333335,144.059,NaN,0,0,0,0,0
1372636800,196758100000000,NaN,43.91578271369806,NaN,186.25583333333333,227.21833333333328,NaN,0,0,0,0,0
1375315200,205691800000000,NaN,41.89555617920906,NaN,344.91183333333333,458.8763333333333,NaN,0,0,0,0,0
1377993600,208862500000000,NaN,37.360022291360586,NaN,716.3818333333332,973.8873333333336,NaN,0,0,0,0,0
1380585600,215514200000000,NaN,39.580740458846925,NaN,1728.5414999999996,2461.023,NaN,0,0,0,0,0
1383264000,224088800000000,NaN,36.34022466616382,NaN,3548.186333333333,4635.349666666667,NaN,0,0,0,0,0
1385856000,224189700000000,NaN,35.93554111069334,NaN,6613.009666666666,8496.441333333334,NaN,0,0,0,0,0
1388534400,232178000000000,NaN,35.10445440299137,NaN,11993.323,15273.533000000003,NaN,0,0,0,0,0
1391212800,240450200000000,NaN,34.68618766200845,NaN,19409.753666666667,24094.936666666672,NaN,0,0,0,0,0
1393632000,241579800000000,NaN,32.677953929760726,NaN,29877.411666666667,35398.42333333335,NaN,0,0,0,0,0
1396310400,246176400000000,NaN,36.55515321809017,NaN,44208.93550000001,53019.44766666668,NaN,0,0,0,0,0
1398902400,253973000000000,NaN,35.522652520494304,NaN,63218.29033333334,72481.24933333331,NaN,0,0,0,0,0
1401580800,257761300000000,NaN,36.575727934015525,NaN,89306.85383333333,106132.45833333333,NaN,0,0,0,0,0
